no,cls,wall_ms,ttfb_ms,ok,q
1,hit,11947,8014,OK,出張時の宿泊費の上限はいくらですか
2,hit,10718,8837,OK,海外出張の日当はいくらですか
3,hit,7294,5217,OK,国内出張の日当はいくらですか
4,hit,12477,9244,OK,結婚した場合の慶弔休暇は何日ですか
5,hit,11353,9908,OK,忌引きで父母が亡くなった場合は何日ですか
6,hit,14343,12763,OK,パスワードはどのくらいの期間で変更する必要がありますか
7,hit,17085,12731,OK,パスワードを忘れた場合はどうすればよいですか
8,hit,9446,8414,OK,年次有給休暇の申請はいつまでにすればよいですか
9,hit,10138,8145,OK,出張申請はいつまでにすればよいですか
10,hit,17229,12142,OK,タクシーは利用できますか
11,hit,15102,10494,OK,USBメモリの利用は認められていますか
12,hit,10095,8527,OK,会議室の予約は何日前からできますか
13,hit,11381,9172,OK,備品のトナー発注はいつまでにすればよいですか
14,hit,5648,4380,OK,名刺の注文は月に何回までですか
15,hit,9846,7581,OK,制服のサイズ交換はいつまでにすればよいですか
16,hit,7894,5429,OK,駐車場の利用申請はいつまでにすればよいですか
17,hit,8036,5272,OK,駐車場の利用料金はいくらですか
18,hit,12733,12733,NG,在宅勤務の申請条件は何ですか
19,guard,3966,3966,NG,経費精算書の提出期限はいつですか
20,hit,18258,12088,OK,社外へのファイル送付はどうすればよいですか
21,nohit,4061,4061,OK,宇宙開発部門の予算配分について教えてください
22,nohit,4242,4242,OK,社内カフェテリアのメニューを教えてください
23,nohit,3962,3962,OK,創業記念日のイベント内容は何ですか
24,cache,185,185,OK,出張時の宿泊費の上限はいくらですか
25,cache,164,164,OK,忌引きで父母が亡くなった場合は何日ですか
